,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD
1,2017-09-07,1,40-035,NWE,,KAN,L 27-42,*,16,36,44.44,267,0,0,70.0,3,20,7.42,7.42,2,0,0.00,0
2,2017-09-17,2,40-045,NWE,@,NOR,W 36-20,*,30,39,76.92,447,3,0,139.6,2,11,11.46,13.00,2,9,4.50,0
3,2017-09-24,3,40-052,NWE,,HOU,W 36-33,*,25,35,71.43,378,5,0,146.2,5,41,10.80,13.66,1,6,6.00,0
4,2017-10-01,4,40-059,NWE,,CAR,L 30-33,*,32,45,71.11,307,2,0,104.6,3,14,6.82,7.71,1,2,2.00,0
5,2017-10-05,5,40-063,NWE,@,TAM,W 19-14,*,30,40,75.00,303,1,1,94.1,3,14,7.58,6.95,2,5,2.50,0
6,2017-10-15,6,40-073,NWE,@,NYJ,W 24-17,*,20,38,52.63,257,2,1,80.7,0,0,6.76,6.63,1,-1,-1.00,0
7,2017-10-22,7,40-080,NWE,,ATL,W 23-7,*,21,29,72.41,249,2,0,121.2,2,8,8.59,9.97,5,5,1.00,0
8,2017-10-29,8,40-087,NWE,,LAC,W 21-13,*,32,47,68.09,333,1,0,95.4,3,16,7.09,7.51,1,2,2.00,0
9,2017-11-12,9,40-101,NWE,@,DEN,W 41-16,*,25,34,73.53,266,3,0,125.4,1,6,7.82,9.59,1,0,0.00,0
10,2017-11-19,10,40-108,NWE,@,OAK,W 33-8,*,30,37,81.08,340,3,0,132.0,1,8,9.19,10.81,0,0,,0
11,2017-11-26,11,40-115,NWE,,MIA,W 35-17,*,18,28,64.29,227,4,1,114.1,1,6,8.11,9.36,5,-4,-0.80,0
12,2017-12-03,12,40-122,NWE,@,BUF,W 23-3,*,21,30,70.00,258,0,1,82.4,3,14,8.60,7.10,0,0,,0
13,2017-12-11,13,40-130,NWE,@,MIA,L 20-27,*,24,43,55.81,233,1,2,59.5,2,10,5.42,3.79,0,0,,0
14,2017-12-17,14,40-136,NWE,@,PIT,W 27-24,*,22,35,62.86,298,1,1,87.6,2,15,8.51,7.80,2,-2,-1.00,0
15,2017-12-24,15,40-143,NWE,,BUF,W 37-16,*,21,28,75.00,224,2,1,106.8,2,6,8.00,7.82,2,6,3.00,0
16,2017-12-31,16,40-150,NWE,,NYJ,W 26-6,*,18,37,48.65,190,2,0,82.0,2,12,5.14,6.22,0,0,,0
,16 Games,,,,,,13-3-0,,385,581,66.27,4577,32,8,102.8,35,201,7.88,8.36,25,28,1.12,0
